"ROW_ID","REQUEST_ID","STATUS","MESSAGE","REQUEST_DATE","CURRENCY_CODE","RECEIPT_DATE","GL_DATE","EXCHANGE_DATE","EXCHANGE_RATE_TYPE","RECEIPT_METHOD_ID","RECEIPT_NUMBER","REMITTANCE_BACK_ACC_ID","DEPOSIT_DATE","CUSTOMER_ID","ORG_ID","AMOUNT","REGION","INTEG_MODE"
509306,35664,Success, ,2026-06-02 09:16:14.000,SAR,2026-05-09 00:00:00.000,2026-05-09 00:00:00.000,,,300000001518638,Cash-2912266,"300000062388894",2026-05-09 00:00:00.000,300000062388957,300000001421038,398,SA,MANUAL
508983,35663,Success, ,2026-06-02 09:07:05.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911261,"300000131004975",2026-05-08 00:00:00.000,300000171340507,300000001421038,30,SA,MANUAL
509258,35664,Success, ,2026-06-02 09:15:06.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912245,"300000073517410",2026-05-08 00:00:00.000,300000073517479,300000001421038,7554,SA,MANUAL
509257,35664,Success, ,2026-06-02 09:14:57.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911308,"300000016780483",2026-05-08 00:00:00.000,300000003335227,300000001421038,2030,SA,MANUAL
509256,35664,Success, ,2026-06-02 09:14:56.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2911308,"300000016780483",2026-05-08 00:00:00.000,300000003335227,300000001421038,299,SA,MANUAL
509255,35664,Success, ,2026-06-02 09:14:56.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911301,"300000066308329",2026-05-08 00:00:00.000,300000066308496,300000001421038,1339.16,SA,MANUAL
509253,35664,Success, ,2026-06-02 09:14:55.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2911301,"300000066308329",2026-05-08 00:00:00.000,300000066308496,300000001421038,299,SA,MANUAL
509171,35664,Success, ,2026-06-02 09:13:03.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912178,"300000044083244",2026-05-08 00:00:00.000,300000044182834,300000001421038,1592,SA,MANUAL
509170,35664,Success, ,2026-06-02 09:13:02.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912178,"300000044083244",2026-05-08 00:00:00.000,300000044182834,300000001421038,847,SA,MANUAL
509167,35664,Success, ,2026-06-02 09:12:58.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912195,"300000039834125",2026-05-08 00:00:00.000,300000040073226,300000001421038,2421,SA,MANUAL
509166,35664,Success, ,2026-06-02 09:12:57.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912195,"300000039834125",2026-05-08 00:00:00.000,300000040073226,300000001421038,697,SA,MANUAL
509165,35664,Success, ,2026-06-02 09:12:56.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912176,"300000047659047",2026-05-08 00:00:00.000,300000049196397,300000001421038,3452,SA,MANUAL
